Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Max Aarons,eng ENG,DF,Valencia,es La Liga,24.0,120,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,10,2,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1033,16,0,0,0,0,0,0.2,0.1,0.2,0.4,4,22,3,2,0,0.0,0.0,0.017,12.2,0,0,Mediocampista Creativo,0.02,0.09,-0.2
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,24.0,2842,32,6,1,7,3,3,6.4,3.2,3.2,6.4,107,207,111,4,0,0.19,0.032,0.203,64.6,0,1,Delantero Goleador,10.41,8.29,-0.4
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,855,12,0,0,0,0,0,0.0,0.0,0.0,0.0,6,52,5,2,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.23,0.06,0.0
Ali Abdi,tn TUN,DF,Nice,fr Ligue 1,30.0,1393,25,5,2,7,5,0,4.3,1.9,4.3,6.2,35,42,101,2,0,0.323,0.129,0.277,38.8,1,0,Mediocampista Creativo,6.33,6.67,0.7
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,205,4,0,1,1,0,0,0.0,0.2,0.0,0.2,6,9,26,0,0,0.0,0.435,0.0,13.8,0,0,Mediocampista Creativo,-0.1,0.74,0.0
Abel,es ESP,DF,Osasuna,es La Liga,23.0,2074,35,2,0,2,2,0,0.5,1.0,0.5,1.6,50,77,92,3,0,0.087,0.0,0.022,19.8,1,1,Delantero Goleador,1.46,1.8,1.5
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,263,7,0,0,0,0,0,0.0,0.0,0.0,0.1,2,6,2,1,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2768,34,9,2,11,8,1,8.5,3.8,7.7,11.5,75,48,169,3,0,0.292,0.065,0.276,121.2,1,1,Delantero Goleador,12.83,12.46,0.5
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,1090,19,1,1,2,1,0,0.6,1.1,0.6,1.7,31,66,55,1,0,0.083,0.083,0.05,18.1,1,0,Mediocampista Creativo,1.59,1.93,0.4
Zakaria Aboukhlal,ma MAR,MF,Toulouse,fr Ligue 1,24.0,1901,26,7,2,9,6,1,10.2,1.6,8.6,10.2,34,22,164,4,0,0.332,0.095,0.483,79.6,0,1,Delantero Goleador,12.37,11.03,-3.2
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,2463,29,0,1,1,0,0,0.9,0.3,0.9,1.2,16,79,4,13,0,0.0,0.036,0.033,14.9,0,1,Delantero Goleador,1.09,1.25,-0.9
Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1183,28,3,4,7,2,1,7.1,2.2,5.4,7.6,8,26,69,1,0,0.229,0.305,0.542,80.2,0,0,Mediocampista Creativo,9.51,7.71,-4.1
Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1710,23,0,1,1,0,0,0.4,0.6,0.4,1.0,19,62,22,0,0,0.0,0.053,0.021,14.3,0,0,Mediocampista Creativo,0.83,0.96,-0.4
Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,170,4,0,0,0,0,0,0.2,0.0,0.2,0.2,0,8,0,1,0,0.0,0.0,0.105,12.2,0,0,Mediocampista Creativo,-0.1,0.06,-0.2
Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,134,4,0,0,0,0,0,0.4,0.0,0.4,0.4,0,5,5,0,0,0.0,0.0,0.267,26.0,0,0,Mediocampista Creativo,0.11,0.15,-0.4
Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,1075,15,3,1,4,3,0,4.3,1.0,4.3,5.3,11,6,45,2,0,0.252,0.084,0.361,62.0,0,0,Mediocampista Creativo,5.31,4.19,-1.3
Che Adams,sct SCO,FW,Torino,it Serie A,28.0,2652,36,9,3,12,9,0,9.0,2.0,8.2,10.2,23,40,153,2,0,0.305,0.102,0.305,126.2,0,1,Delantero Goleador,11.43,12.44,0.0
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1965,28,0,3,3,0,0,1.6,1.0,1.6,2.6,14,76,10,7,0,0.0,0.138,0.073,29.0,0,1,Delantero Goleador,2.52,2.73,-1.6
Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,1545,25,2,2,4,2,0,5.5,2.4,5.5,7.9,8,14,84,5,1,0.116,0.116,0.32,61.3,0,0,Mediocampista Creativo,7.94,4.69,-3.5
Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1409,22,1,1,2,1,0,0.9,0.2,0.9,1.2,5,42,1,4,0,0.064,0.064,0.057,18.5,1,0,Mediocampista Creativo,0.91,1.78,0.1
Karim Adeyemi,de GER,FW,Dortmund,de Bundesliga,22.0,1433,25,7,6,13,7,0,5.5,6.0,5.5,11.5,68,28,153,4,0,0.44,0.377,0.346,113.8,1,1,Delantero Goleador,11.64,12.09,1.5
Simon Adingra,ci CIV,FW,Brighton,eng Premier League,22.0,1097,29,2,2,4,2,0,2.5,2.5,2.5,4.9,50,18,136,0,0,0.164,0.164,0.205,53.8,0,0,Mediocampista Creativo,4.97,4.47,-0.5
Amine Adli,ma MAR,MF,Leverkusen,de Bundesliga,24.0,766,20,2,0,2,2,0,2.7,0.7,2.7,3.4,37,24,100,3,0,0.235,0.0,0.318,33.7,0,0,Mediocampista Creativo,3.43,2.28,-0.7
Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,1219,25,4,6,10,4,0,1.0,2.4,1.0,3.4,24,103,30,3,1,0.296,0.444,0.074,57.6,1,1,Delantero Goleador,3.31,7.3,3.0
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,724,14,0,0,0,0,0,0.4,0.4,0.4,0.8,8,33,17,2,0,0.0,0.0,0.05,18.7,0,0,Mediocampista Creativo,0.56,0.26,-0.4
Oladapo Afolayan,eng ENG,FW,St. Pauli,de Bundesliga,26.0,1639,32,3,1,4,3,0,3.1,3.8,3.1,7.0,53,32,108,3,0,0.165,0.055,0.17,59.0,0,1,Delantero Goleador,6.89,5.04,-0.1
Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1410,16,1,0,1,1,0,0.8,0.2,0.8,1.1,6,31,2,3,0,0.064,0.0,0.051,16.6,1,0,Mediocampista Creativo,0.78,1.0,0.2
Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,1260,14,0,0,0,0,0,0.5,0.3,0.5,0.8,10,77,0,3,0,0.0,0.0,0.036,12.6,0,0,Mediocampista Creativo,0.66,0.27,-0.5
Jeremy Agbonifo,se SWE,FW,Lens,fr Ligue 1,18.0,300,8,1,0,1,1,0,0.7,0.2,0.7,0.9,13,6,36,1,0,0.303,0.0,0.212,34.2,1,0,Mediocampista Creativo,0.67,0.77,0.3
Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2114,35,1,3,4,1,0,0.9,2.5,0.9,3.3,29,135,23,5,1,0.043,0.128,0.038,33.1,1,1,Delantero Goleador,3.36,4.2,0.1
Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,1751,22,3,0,3,3,0,1.4,1.8,1.4,3.2,33,43,105,1,0,0.154,0.0,0.072,24.5,1,1,Delantero Goleador,3.08,2.88,1.6
Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,443,16,0,1,1,0,0,0.6,0.6,0.6,1.2,15,37,4,3,0,0.0,0.204,0.122,21.8,0,0,Mediocampista Creativo,1.01,1.1,-0.6
Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,1760,21,0,0,0,0,0,2.4,0.1,2.4,2.5,26,75,1,5,0,0.0,0.0,0.122,14.9,0,0,Mediocampista Creativo,2.57,0.63,-2.4
Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31.0,1124,16,1,2,3,1,0,0.8,1.9,0.8,2.7,32,74,101,4,0,0.08,0.16,0.064,20.2,1,0,Mediocampista Creativo,2.59,2.98,0.2
Honest Ahanor,it ITA,DF,Genoa,it Serie A,16.0,270,6,0,0,0,0,0,0.5,0.1,0.5,0.6,3,3,7,0,0,0.0,0.0,0.167,12.6,0,0,Mediocampista Creativo,0.32,0.07,-0.5
Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,1959,26,2,0,2,2,0,1.8,1.0,1.8,2.8,15,68,16,7,0,0.092,0.0,0.083,32.0,1,1,Delantero Goleador,2.72,2.14,0.2
Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,583,8,0,0,0,0,0,0.0,0.0,0.0,0.0,1,14,0,0,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.31,0.06,0.0
Ayman Aiki,fr FRA,FW,Saint-Étienne,fr Ligue 1,19.0,127,5,0,0,0,0,0,0.1,0.0,0.1,0.1,4,5,8,0,0,0.0,0.0,0.071,25.2,0,0,Mediocampista Creativo,-0.2,0.05,-0.1
Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,2995,35,2,1,3,2,0,0.6,1.4,0.6,2.1,67,107,67,5,0,0.06,0.03,0.018,21.7,1,1,Delantero Goleador,2.06,2.59,1.4
Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,3109,37,4,7,11,4,0,2.7,5.5,2.7,8.2,89,108,176,7,1,0.116,0.203,0.078,42.2,1,1,Delantero Goleador,8.34,10.06,1.3
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,1438,24,0,0,0,0,0,1.0,1.2,1.0,2.2,27,56,44,5,0,0.0,0.0,0.062,13.2,0,0,Mediocampista Creativo,2.08,0.98,-1.0
Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,2495,31,13,2,15,13,0,10.4,3.1,9.6,12.7,10,41,124,5,0,0.469,0.072,0.375,156.0,1,1,Delantero Goleador,13.96,15.14,2.6
Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,2014,26,0,0,0,0,0,1.6,0.4,1.6,1.9,46,158,7,3,0,0.0,0.0,0.071,13.9,0,1,Delantero Goleador,2.23,0.5,-1.6
Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,500,9,0,0,0,0,0,0.1,0.1,0.1,0.1,4,29,9,2,0,0.0,0.0,0.018,12.1,0,0,Mediocampista Creativo,-0.07,0.02,-0.1
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,678,10,0,0,0,0,0,0.2,0.0,0.2,0.2,12,50,2,0,0,0.0,0.0,0.027,12.2,0,0,Mediocampista Creativo,0.01,0.11,-0.2
Ilias Akhomach,ma MAR,MF,Villarreal,es La Liga,20.0,584,11,1,0,1,1,0,0.6,1.0,0.6,1.6,30,12,64,1,0,0.154,0.0,0.092,24.5,1,0,Mediocampista Creativo,1.4,1.46,0.4
Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,2523,30,2,3,5,2,0,1.5,2.5,1.5,4.0,55,86,97,5,0,0.071,0.107,0.054,26.4,1,1,Delantero Goleador,4.01,4.49,0.5
Maghnes Akliouche,fr FRA,FW,Monaco,fr Ligue 1,22.0,2406,32,5,10,15,4,1,9.2,7.3,8.4,15.7,127,173,226,2,0,0.187,0.375,0.345,123.0,0,1,Delantero Goleador,17.38,17.53,-4.2
Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,2486,31,0,1,1,0,0,0.3,0.9,0.3,1.2,27,74,24,7,0,0.0,0.036,0.011,14.2,0,1,Delantero Goleador,1.05,1.14,-0.3
Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31.0,966,14,0,0,0,0,0,0.3,0.2,0.3,0.6,21,19,22,4,0,0.0,0.0,0.028,18.5,0,0,Mediocampista Creativo,0.28,0.07,-0.3
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29.0,2220,32,0,0,0,0,0,0.1,0.3,0.1,0.4,14,98,16,3,0,0.0,0.0,0.004,12.1,0,1,Delantero Goleador,0.26,0.21,-0.1
Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28.0,639,14,3,1,4,2,1,5.0,0.5,3.4,3.9,6,7,38,0,0,0.423,0.141,0.704,63.7,0,0,Mediocampista Creativo,5.58,4.11,-2.0
David Alaba,at AUT,DF,Real Madrid,es La Liga,32.0,317,7,0,0,0,0,0,0.0,0.1,0.0,0.1,2,7,4,1,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.22,0.0,0.0
Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18.0,160,3,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,0,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.32,0.01,0.0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38.0,1188,15,0,0,0,0,0,0.1,0.0,0.1,0.1,3,34,0,5,0,0.0,0.0,0.008,12.1,0,0,Mediocampista Creativo,-0.17,0.01,-0.1
Carlos Alcaraz,ar ARG,FW,Everton,eng Premier League,21.0,764,15,2,3,5,2,0,1.7,1.6,1.7,3.4,19,42,21,4,0,0.235,0.353,0.2,55.5,1,0,Mediocampista Creativo,3.18,4.26,0.3
Omar Alderete,py PAR,DF,Getafe,es La Liga,27.0,2971,34,1,0,1,1,0,1.7,0.9,1.7,2.6,25,112,7,8,0,0.03,0.0,0.052,17.6,0,1,Delantero Goleador,2.62,1.43,-0.7
Carles Aleñá,es ESP,MF,Getafe,es La Liga,26.0,452,10,0,0,0,0,0,0.9,0.1,0.9,1.0,3,12,10,1,0,0.0,0.0,0.18,19.6,0,0,Mediocampista Creativo,0.76,0.17,-0.9
Carles Aleñá,es ESP,MF,Alavés,es La Liga,26.0,1090,14,0,2,2,0,0,0.7,1.3,0.7,2.0,18,58,43,1,0,0.0,0.165,0.058,24.7,0,0,Mediocampista Creativo,1.83,1.94,-0.7
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25.0,2365,33,3,6,9,3,0,1.9,7.3,1.9,9.2,51,232,94,5,0,0.114,0.228,0.072,35.9,1,1,Delantero Goleador,9.3,9.07,1.1
Alfon,es ESP,FW,Celta Vigo,es La Liga,25.0,1371,26,5,2,7,5,0,4.6,2.6,4.6,7.2,89,22,170,1,1,0.329,0.132,0.303,81.5,1,1,Delantero Goleador,7.49,6.96,0.4
Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,20.0,1621,27,3,4,7,3,0,4.0,4.0,4.0,7.9,81,59,133,2,0,0.167,0.222,0.222,72.5,0,1,Delantero Goleador,8.21,7.64,-1.0
Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29.0,1750,28,1,3,4,1,0,4.2,2.5,4.2,6.7,57,48,99,3,0,0.052,0.155,0.216,54.2,0,1,Delantero Goleador,6.88,5.54,-3.2
Thiago Almada,ar ARG,MF,Lyon,fr Ligue 1,23.0,951,16,1,4,5,1,0,2.0,2.6,2.0,4.6,38,97,50,3,0,0.094,0.377,0.189,37.8,0,0,Mediocampista Creativo,4.63,4.67,-1.0
Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,24.0,1977,34,0,4,4,0,0,1.2,3.2,1.2,4.4,45,142,77,2,0,0.0,0.182,0.055,31.0,0,1,Delantero Goleador,4.44,4.15,-1.2
Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30.0,157,9,0,0,0,0,0,0.5,0.3,0.5,0.8,3,6,18,0,0,0.0,0.0,0.294,26.2,0,0,Mediocampista Creativo,0.52,0.11,-0.5
Pontus Almqvist,se SWE,FW,Parma,it Serie A,25.0,1112,29,1,1,2,1,0,2.1,1.3,2.1,3.5,42,12,85,5,0,0.081,0.081,0.169,41.5,0,0,Mediocampista Creativo,3.34,2.22,-1.1
Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33.0,2647,31,3,0,3,0,3,4.0,1.3,1.6,2.9,64,215,49,10,2,0.102,0.0,0.136,27.6,0,1,Delantero Goleador,5.85,4.6,-1.0
Giorgio Altare,it ITA,DF,Venezia,it Serie A,25.0,753,12,0,0,0,0,0,0.2,0.1,0.2,0.3,4,20,5,2,0,0.0,0.0,0.024,12.2,0,0,Mediocampista Creativo,0.02,0.02,-0.2
Adrià Altimira,es ESP,DF,Leganés,es La Liga,23.0,1630,22,0,0,0,0,0,0.3,0.5,0.3,0.8,23,42,69,6,0,0.0,0.0,0.017,12.4,0,0,Mediocampista Creativo,0.61,0.25,-0.3
Sergi Altimira,es ESP,MF,Betis,es La Liga,22.0,1972,32,0,1,1,0,0,1.7,1.7,1.6,3.3,25,99,30,4,0,0.0,0.046,0.078,23.8,0,1,Delantero Goleador,3.38,1.58,-1.7
Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26.0,1772,28,0,1,1,0,0,0.4,0.8,0.4,1.2,24,85,18,9,1,0.0,0.051,0.02,21.4,0,1,Delantero Goleador,1.09,1.02,-0.4
Hugo Álvarez,es ESP,MF,Celta Vigo,es La Liga,21.0,1572,26,4,3,7,4,0,2.5,1.1,2.5,3.6,74,60,171,6,0,0.229,0.171,0.143,52.2,1,1,Delantero Goleador,3.79,5.47,1.5
Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24.0,2509,37,17,4,21,13,4,14.1,5.3,11.0,16.3,79,92,162,5,0,0.609,0.143,0.505,200.0,1,1,Delantero Goleador,20.43,20.88,2.9
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29.0,1781,21,1,0,1,1,0,0.5,0.2,0.5,0.7,19,105,0,4,0,0.051,0.0,0.025,16.2,1,1,Delantero Goleador,0.64,0.67,0.5
Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22.0,236,12,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,0,1,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27.0,1376,24,3,1,4,2,1,3.5,1.1,2.7,3.8,24,57,27,6,0,0.196,0.065,0.229,43.2,0,0,Mediocampista Creativo,4.68,4.43,-0.5
Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17.0,346,5,0,0,0,0,0,0.1,0.0,0.1,0.1,9,7,23,0,0,0.0,0.0,0.026,12.1,0,0,Mediocampista Creativo,-0.18,0.0,-0.1
Amath,sn SEN,FW,Valladolid,es La Liga,28.0,375,13,0,1,1,0,0,0.4,0.5,0.4,0.9,10,12,29,1,0,0.0,0.238,0.095,29.8,0,0,Mediocampista Creativo,0.63,0.89,-0.4
Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30.0,790,11,0,0,0,0,0,0.3,0.2,0.3,0.4,22,36,21,2,0,0.0,0.0,0.034,12.4,0,0,Mediocampista Creativo,0.32,0.01,-0.3
Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21.0,96,8,0,0,0,0,0,0.0,0.3,0.0,0.3,1,2,1,1,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.04,0.03,0.0
Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26.0,2165,30,1,0,1,1,0,1.0,0.8,1.0,1.8,32,73,77,5,0,0.041,0.0,0.041,16.8,0,1,Delantero Goleador,1.74,1.33,0.0
Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28.0,2437,30,1,3,4,1,0,1.5,3.3,1.5,4.8,43,140,100,3,0,0.037,0.111,0.055,22.8,0,1,Delantero Goleador,4.83,4.38,-0.5
Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27.0,2473,30,7,5,12,5,2,5.5,6.6,3.9,10.5,50,204,64,9,2,0.255,0.182,0.2,79.2,1,1,Delantero Goleador,12.47,12.43,1.5
Samuel Amo-Ameyaw,eng ENG,DF,Strasbourg,fr Ligue 1,18.0,320,9,2,0,2,2,0,0.7,0.6,0.7,1.3,11,12,18,0,0,0.556,0.0,0.194,20.0,1,0,Mediocampista Creativo,1.06,1.54,1.3
Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18.0,859,17,0,0,0,0,0,0.5,0.4,0.5,0.8,8,36,17,2,0,0.0,0.0,0.053,18.9,0,0,Mediocampista Creativo,0.67,0.38,-0.5
Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24.0,2467,31,10,9,19,8,2,8.7,4.0,7.2,11.2,81,61,244,6,0,0.365,0.328,0.318,155.5,1,1,Delantero Goleador,13.29,17.3,1.3
Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27.0,180,2,0,0,0,0,0,0.0,0.1,0.0,0.1,2,14,1,0,0,0.0,0.0,0.0,18.0,0,0,Mediocampista Creativo,-0.21,0.01,0.0
Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28.0,90,1,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,1,1,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.32,0.0,0.0
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28.0,2583,29,0,0,0,0,0,1.0,0.5,1.0,1.5,16,112,2,6,1,0.0,0.0,0.035,13.2,0,1,Delantero Goleador,1.46,0.51,-1.0
Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21.0,2728,37,2,6,8,2,0,2.1,3.3,2.1,5.4,52,143,94,10,0,0.066,0.198,0.069,48.8,0,1,Delantero Goleador,5.52,6.72,-0.1
André,br BRA,MF,Wolves,eng Premier League,23.0,2472,33,0,0,0,0,0,0.4,0.8,0.4,1.3,10,109,11,7,0,0.0,0.0,0.015,18.7,0,1,Delantero Goleador,1.07,0.9,-0.4
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33.0,2692,30,0,3,3,0,0,1.4,1.9,1.4,3.3,29,209,72,12,0,0.0,0.1,0.047,28.6,0,1,Delantero Goleador,3.46,3.03,-1.4
Marcos André,br BRA,FW,Valladolid,es La Liga,27.0,1188,22,1,2,3,1,0,2.7,0.8,2.7,3.5,11,16,39,5,0,0.076,0.152,0.205,46.8,0,0,Mediocampista Creativo,3.4,3.05,-1.7
Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,29.0,1598,23,2,2,4,2,0,1.3,0.3,1.3,1.6,8,65,17,7,0,0.112,0.112,0.073,36.5,1,0,Mediocampista Creativo,1.49,3.02,0.7
Angeliño,es ESP,DF,Roma,it Serie A,27.0,3177,38,2,1,3,2,0,1.4,3.7,1.4,5.1,66,172,172,1,0,0.057,0.028,0.04,22.7,1,1,Delantero Goleador,5.24,3.75,0.6
Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22.0,1114,22,2,3,5,2,0,0.9,1.7,0.9,2.5,28,55,35,3,0,0.161,0.242,0.073,38.5,1,0,Mediocampista Creativo,2.46,3.7,1.1
Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28.0,1949,26,2,2,4,2,0,1.7,0.8,1.7,2.5,32,117,28,4,0,0.092,0.092,0.078,24.8,1,1,Delantero Goleador,2.58,3.35,0.3
Kyllian Antonio,fr FRA,DF,Lens,fr Ligue 1,16.0,139,3,0,0,0,0,0,0.1,0.0,0.1,0.1,1,0,0,0,0,0.0,0.0,0.067,12.1,0,0,Mediocampista Creativo,-0.22,0.07,-0.1
Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34.0,836,14,1,1,2,1,0,2.2,1.6,2.2,3.8,29,18,59,1,0,0.108,0.108,0.237,41.8,0,0,Mediocampista Creativo,3.71,2.54,-1.2
Antoniu,es ESP,FW,Espanyol,es La Liga,21.0,1022,26,0,1,1,0,0,0.9,1.1,0.9,1.9,35,28,63,3,0,0.0,0.088,0.079,31.0,0,0,Mediocampista Creativo,1.86,1.4,-0.9
Antony,br BRA,DF,Manchester Utd,eng Premier League,24.0,141,8,0,0,0,0,0,1.0,0.1,1.0,1.1,5,6,7,0,0,0.0,0.0,0.625,13.2,0,0,Mediocampista Creativo,0.87,0.35,-1.0
Antony,br BRA,FW,Betis,es La Liga,24.0,1362,17,5,2,7,5,0,2.9,3.5,2.9,6.3,94,67,157,2,1,0.331,0.132,0.192,77.2,1,1,Delantero Goleador,6.62,6.7,2.1
Anuar,ma MAR,MF,Valladolid,es La Liga,29.0,1720,26,2,0,2,2,0,1.7,1.2,1.7,2.9,24,30,68,7,0,0.105,0.0,0.089,31.9,1,0,Mediocampista Creativo,2.77,2.73,0.3
Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32.0,2128,29,0,1,1,0,0,0.2,2.1,0.2,2.3,51,108,110,2,0,0.0,0.042,0.008,14.0,0,1,Delantero Goleador,2.25,1.41,-0.2
Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26.0,177,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.33,0.0,0.0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28.0,2661,35,10,0,10,7,3,8.2,0.6,5.8,6.5,17,75,55,10,0,0.338,0.0,0.277,86.8,1,1,Delantero Goleador,9.27,10.43,1.8
Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22.0,2460,35,1,1,2,1,0,0.4,1.1,0.4,1.6,26,97,53,8,0,0.037,0.037,0.015,17.9,1,1,Delantero Goleador,1.39,1.68,0.6
Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22.0,497,12,0,0,0,0,0,0.0,0.1,0.0,0.1,4,14,22,2,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.2,0.09,0.0
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25.0,754,12,1,1,2,1,0,1.0,0.4,1.0,1.4,6,49,3,3,0,0.119,0.119,0.119,18.6,0,0,Mediocampista Creativo,1.24,1.92,0.0
Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23.0,1441,35,2,0,2,2,0,5.7,0.5,4.9,5.4,22,14,66,0,0,0.125,0.0,0.356,54.2,0,0,Mediocampista Creativo,6.4,3.3,-3.7
Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28.0,2047,28,0,1,1,0,0,0.0,1.4,0.0,1.4,39,70,79,3,0,0.0,0.044,0.0,13.8,0,1,Delantero Goleador,1.25,1.23,0.0
Jesús Areso,es ESP,DF,Osasuna,es La Liga,25.0,3079,36,0,3,3,0,0,0.2,3.5,0.2,3.7,101,106,203,9,0,0.0,0.088,0.006,17.6,0,1,Delantero Goleador,3.76,3.16,-0.2
Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28.0,2013,32,3,0,3,3,0,2.7,1.6,2.7,4.3,36,75,65,1,0,0.134,0.0,0.121,39.1,1,1,Delantero Goleador,4.36,3.54,0.3
Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,27.0,1248,20,2,2,4,2,0,3.3,1.2,2.3,3.5,25,21,79,4,0,0.144,0.144,0.237,55.8,0,0,Mediocampista Creativo,4.5,4.23,-1.3
José Arnaiz,es ESP,FW,Osasuna,es La Liga,29.0,133,15,0,0,0,0,0,0.3,0.1,0.3,0.5,6,4,20,0,0,0.0,0.0,0.2,25.8,0,0,Mediocampista Creativo,0.12,0.24,-0.3
