Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,26.0,1498,23,0,0,0,0,0,0.4,0.6,0.4,1.0,11,62,3,3,0,0.0,0.0,0.024,12.5,0,0,Mediocampista Creativo,0.81,0.5,-0.4
Marvin Pieringer,de GER,FW,Heidenheim,de Bundesliga,24.0,2206,31,7,4,11,4,3,8.9,4.0,6.6,10.6,23,59,115,7,0,0.286,0.163,0.363,114.8,0,1,Delantero Goleador,13.28,11.78,-1.9
Santiago Pierotti,ar ARG,FW,Lecce,it Serie A,23.0,1937,36,4,2,6,4,0,3.1,2.4,3.1,5.5,43,38,85,6,1,0.186,0.093,0.144,70.2,1,1,Delantero Goleador,5.52,5.86,0.9
Balthazar Pierret,fr FRA,MF,Lecce,it Serie A,24.0,1723,30,0,0,0,0,0,0.2,0.4,0.2,0.6,13,82,13,2,0,0.0,0.0,0.01,18.4,0,0,Mediocampista Creativo,0.44,0.12,-0.2
Andrea Pinamonti,it ITA,FW,Genoa,it Serie A,25.0,2850,36,10,1,11,10,0,7.7,1.7,7.0,8.7,20,46,132,4,0,0.315,0.032,0.243,123.0,1,1,Delantero Goleador,9.74,11.07,2.3
Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,31.0,1913,22,2,0,2,2,0,1.1,1.2,1.1,2.3,3,41,9,2,0,0.094,0.0,0.052,20.5,1,0,Mediocampista Creativo,2.06,2.13,0.9
Yeremi Pino,es ESP,MF,Villarreal,es La Liga,21.0,1934,34,4,7,11,4,0,3.9,5.3,3.9,9.2,42,66,213,11,0,0.186,0.326,0.181,65.5,1,1,Delantero Goleador,9.21,10.07,0.1
Niccolò Pisilli,it ITA,MF,Roma,it Serie A,19.0,1227,28,2,1,3,2,0,2.7,0.7,2.7,3.4,22,63,44,7,0,0.147,0.074,0.199,36.4,0,0,Mediocampista Creativo,3.44,2.97,-0.7
Alassane Pléa,fr FRA,MF,Gladbach,de Bundesliga,31.0,1902,30,11,4,15,10,1,7.4,3.1,6.6,9.8,51,116,141,3,0,0.521,0.19,0.351,101.5,1,1,Delantero Goleador,11.03,14.07,3.6
Tommaso Pobega,it ITA,MF,Bologna,it Serie A,25.0,1178,21,2,2,4,2,0,2.1,1.4,2.0,3.4,12,42,23,6,2,0.153,0.153,0.16,38.0,0,0,Mediocampista Creativo,3.38,3.48,-0.1
Joel Pohjanpalo,fi FIN,FW,Venezia,it Serie A,29.0,1603,20,6,0,6,3,3,7.5,1.7,4.3,6.0,9,29,72,1,0,0.337,0.0,0.421,88.8,0,0,Mediocampista Creativo,9.47,7.53,-1.5
Matteo Politano,it ITA,FW,Napoli,it Serie A,30.0,2804,37,3,4,7,3,0,3.1,4.8,3.1,7.9,135,129,278,3,0,0.096,0.128,0.099,70.2,0,1,Delantero Goleador,8.32,7.08,-0.1
Marin Pongračić,hr CRO,DF,Fiorentina,it Serie A,26.0,1292,19,0,0,0,0,0,0.2,0.2,0.2,0.4,7,34,5,3,1,0.0,0.0,0.014,12.2,0,0,Mediocampista Creativo,0.14,0.28,-0.2
Finn Porath,de GER,DF,Holstein Kiel,de Bundesliga,27.0,1970,31,2,3,5,2,0,1.9,2.0,1.8,3.8,42,58,69,3,0,0.091,0.137,0.087,26.9,1,1,Delantero Goleador,3.87,4.61,0.1
Pedro Porro,es ESP,DF,Tottenham,eng Premier League,24.0,2610,33,2,6,8,2,0,1.6,5.0,1.6,6.6,65,154,109,5,0,0.069,0.207,0.055,31.9,1,1,Delantero Goleador,6.68,7.18,0.4
Portu,es ESP,FW,Girona,es La Liga,32.0,779,27,1,2,3,1,0,1.6,1.7,1.6,3.3,20,16,79,4,0,0.115,0.23,0.184,44.0,0,0,Mediocampista Creativo,3.12,2.83,-0.6
Stefan Posch,at AUT,DF,Bologna,it Serie A,27.0,714,14,0,0,0,0,0,0.3,0.7,0.3,1.0,11,36,35,1,0,0.0,0.0,0.038,12.4,0,0,Mediocampista Creativo,0.76,0.25,-0.3
Stefan Posch,at AUT,DF,Atalanta,it Serie A,27.0,387,5,0,0,0,0,0,0.2,0.0,0.2,0.2,5,23,5,0,0,0.0,0.0,0.047,12.2,0,0,Mediocampista Creativo,-0.06,0.06,-0.2
Tom Pouilly,fr FRA,DF,Lens,fr Ligue 1,21.0,273,10,0,0,0,0,0,0.4,0.4,0.4,0.9,12,11,34,1,0,0.0,0.0,0.133,12.5,0,0,Mediocampista Creativo,0.55,0.23,-0.4
Yussuf Poulsen,dk DEN,FW,RB Leipzig,de Bundesliga,30.0,378,22,2,0,2,2,0,3.3,0.6,3.3,3.9,2,12,30,1,0,0.476,0.0,0.786,48.3,0,0,Mediocampista Creativo,3.84,2.42,-1.3
Beñat Prados,es ESP,MF,Athletic Club,es La Liga,23.0,1715,30,1,0,1,1,0,1.0,1.1,1.0,2.1,20,78,32,7,0,0.052,0.0,0.052,25.2,0,0,Mediocampista Creativo,2.0,1.61,0.0
Alexander Prass,at AUT,DF,Hoffenheim,de Bundesliga,23.0,1566,23,0,1,1,0,0,0.9,2.8,0.9,3.6,28,63,66,1,0,0.0,0.057,0.052,14.9,0,0,Mediocampista Creativo,3.52,2.19,-0.9
Matteo Prati,it ITA,MF,Cagliari,it Serie A,20.0,570,12,0,0,0,0,0,0.1,0.7,0.1,0.8,2,23,7,1,0,0.0,0.0,0.016,18.2,0,0,Mediocampista Creativo,0.49,0.3,-0.1
Abdón Prats,es ESP,FW,Mallorca,es La Liga,31.0,456,24,2,0,2,1,1,2.2,0.1,1.5,1.6,0,7,14,4,0,0.392,0.0,0.431,45.5,0,0,Mediocampista Creativo,2.15,1.67,-0.2
David Preu,de GER,MF,Union Berlin,de Bundesliga,19.0,121,5,0,0,0,0,0,0.1,0.0,0.1,0.1,1,3,9,1,0,0.0,0.0,0.077,18.2,0,0,Mediocampista Creativo,-0.22,0.01,-0.1
